BTUB_ECOLI	GO:0005575|0.689	GO:0110165|0.622	GO:0008150|0.830	GO:0009987|0.385
TRIM4_HUMAN	GO:0005575|0.831	GO:0110165|0.788	GO:0008150|0.791	GO:0009987|0.332
CHIS_BACSU	GO:0005575|0.734	GO:0110165|0.661	GO:0008150|0.784	GO:0009987|0.301
AMPL1_ARATH	GO:0005575|0.698	GO:0110165|0.661	GO:0008150|0.649
SARA_STAAU	GO:0005575|0.867	GO:0110165|0.839	GO:0008150|0.718
UCK2_HUMAN	GO:0005575|0.721	GO:0110165|0.666	GO:0008150|0.806	GO:0009987|0.362
C3H31_ARATH	GO:0005575|0.721	GO:0110165|0.705	GO:0008150|0.870	GO:0009987|0.419
SO4C1_RAT	GO:0005575|0.847	GO:0110165|0.819	GO:0008150|0.900	GO:0009987|0.542
PMTT_ARATH	GO:0005575|0.750	GO:0110165|0.708	GO:0008150|0.794
HHLA2_HUMAN	GO:0005575|0.838	GO:0110165|0.796	GO:0008150|0.793	GO:0009987|0.346
YDY2_SCHPO	GO:0005575|0.897	GO:0110165|0.884	GO:0008150|0.894	GO:0009987|0.533
VF706_ASFB7	GO:0005575|0.831	GO:0110165|0.756	GO:0008150|0.787	GO:0009987|0.364
OSR2_HUMAN	GO:0005575|0.751	GO:0110165|0.711	GO:0008150|0.912	GO:0009987|0.542
CAHM3_MOUSE	GO:0005575|0.816	GO:0110165|0.757	GO:0008150|0.879	GO:0009987|0.477
MTNA_SCHPO	GO:0005575|0.675	GO:0110165|0.612	GO:0008150|0.614
PXA2_YEAST	GO:0005575|0.785	GO:0110165|0.724	GO:0008150|0.740
ZW10_CAEEL	GO:0005575|0.730	GO:0110165|0.652	GO:0008150|0.831	GO:0009987|0.328
LAT1_RABIT	GO:0005575|0.794	GO:0110165|0.786	GO:0008150|0.864	GO:0009987|0.436
DLL1_RAT	GO:0005575|0.651	GO:0110165|0.635	GO:0008150|0.914	GO:0009987|0.497
SASA_SYNE7	GO:0005575|0.751	GO:0110165|0.696	GO:0008150|0.855	GO:0009987|0.444
MUTYH_HUMAN	GO:0005575|0.689	GO:0110165|0.609	GO:0008150|0.837	GO:0009987|0.438
FABP5_CAEEL	GO:0005575|0.676	GO:0110165|0.619	GO:0008150|0.714
RM13_MOUSE	GO:0005575|0.630	GO:0110165|0.602	GO:0008150|0.861	GO:0009987|0.412
ARNT_MOUSE	GO:0005575|0.877	GO:0110165|0.873	GO:0008150|0.840	GO:0009987|0.419
FAD1_YEAST	GO:0005575|0.682	GO:0110165|0.614	GO:0008150|0.779
RM50_BOVIN	GO:0005575|0.884	GO:0110165|0.852	GO:0008150|0.866	GO:0009987|0.501
RIC6_ARATH	GO:0005575|0.794	GO:0110165|0.760	GO:0008150|0.778
OR1D2_HUMAN	GO:0005575|0.717	GO:0110165|0.717	GO:0008150|0.771
EFC4B_HUMAN	GO:0005575|0.756	GO:0110165|0.717	GO:0008150|0.849	GO:0009987|0.443
RA210_ARATH	GO:0005575|0.614	GO:0110165|0.594	GO:0008150|0.801
CPL3_ARATH	GO:0005575|0.916	GO:0110165|0.897	GO:0008150|0.865	GO:0009987|0.476
NMNA2_HUMAN	GO:0005575|0.679	GO:0110165|0.607	GO:0008150|0.817	GO:0009987|0.341
ATX3_MOUSE	GO:0005575|0.594	GO:0110165|0.582	GO:0008150|0.832	GO:0009987|0.381
RL5_YEAST	GO:0005575|0.694	GO:0110165|0.627	GO:0008150|0.720	GO:0009987|0.325
GATL2_ARATH	GO:0005575|0.756	GO:0110165|0.736	GO:0008150|0.824	GO:0009987|0.361
PKNX2_MOUSE	GO:0005575|0.853	GO:0110165|0.807	GO:0008150|0.860	GO:0009987|0.468
HLAF_HUMAN	GO:0005575|0.724	GO:0110165|0.685	GO:0008150|0.734
DCAF5_HUMAN	GO:0005575|0.792	GO:0110165|0.755	GO:0008150|0.877	GO:0009987|0.463
ZFP5_ARATH	GO:0005575|0.665	GO:0110165|0.599	GO:0008150|0.877	GO:0009987|0.404
ARFRP_MOUSE	GO:0005575|0.742	GO:0110165|0.694	GO:0008150|0.829	GO:0009987|0.393
AMZA_METKA	GO:0005575|0.597	GO:0110165|0.543	GO:0008150|0.859	GO:0009987|0.470
PLK2_CAEEL	GO:0005575|0.866	GO:0110165|0.834	GO:0008150|0.804	GO:0009987|0.374
FOXE1_HUMAN	GO:0005575|0.605	GO:0110165|0.572	GO:0008150|0.768
NEMF_HUMAN	GO:0005575|0.839	GO:0110165|0.833	GO:0008150|0.812	GO:0009987|0.356
AGFG1_MOUSE	GO:0005575|0.853	GO:0110165|0.847	GO:0008150|0.840	GO:0009987|0.420
YPD1_CANAL	GO:0005575|0.644	GO:0110165|0.594	GO:0008150|0.649
SPG16_HUMAN	GO:0005575|0.733	GO:0110165|0.679	GO:0008150|0.845	GO:0009987|0.432
PP14A_HUMAN	GO:0005575|0.806	GO:0110165|0.806	GO:0008150|0.752	GO:0009987|0.338
DHE4_ECOLI	GO:0005575|0.637	GO:0110165|0.598	GO:0008150|0.822	GO:0009987|0.412
OPSB_RAT	GO:0005575|0.743	GO:0110165|0.713	GO:0008150|0.896	GO:0009987|0.516
DHE2_ORYSJ	GO:0005575|0.702	GO:0110165|0.655	GO:0008150|0.793	GO:0009987|0.324
FKH2_YEAST	GO:0005575|0.776	GO:0110165|0.746	GO:0008150|0.823	GO:0009987|0.449
PTR14_ARATH	GO:0005575|0.865	GO:0110165|0.857	GO:0008150|0.778	GO:0016020|0.320	GO:0009987|0.372
O11H7_HUMAN	GO:0005575|0.703	GO:0110165|0.639	GO:0008150|0.866	GO:0009987|0.452
CSPB_LISIN	GO:0005575|0.458	GO:0110165|0.395	GO:0008150|0.763
OASL1_MOUSE	GO:0005575|0.799	GO:0110165|0.777	GO:0008150|0.845	GO:0009987|0.410
HME2_MOUSE	GO:0005575|0.773	GO:0110165|0.716	GO:0008150|0.854	GO:0009987|0.381
ABI5_ARATH	GO:0005575|0.772	GO:0110165|0.725	GO:0008150|0.859	GO:0009987|0.386
OPA3_SCHPO	GO:0005575|0.796	GO:0110165|0.768	GO:0008150|0.582
ST1C4_HUMAN	GO:0005575|0.712	GO:0110165|0.690	GO:0008150|0.750	GO:0009987|0.306
TINAG_HUMAN	GO:0005575|0.635	GO:0110165|0.593	GO:0008150|0.838	GO:0009987|0.335
RR16_ORYNI	GO:0005575|0.719	GO:0110165|0.690	GO:0008150|0.506
DAF1_MOUSE	GO:0005575|0.812	GO:0110165|0.790	GO:0008150|0.814	GO:0009987|0.367
NMT1_MOUSE	GO:0005575|0.698	GO:0110165|0.666	GO:0008150|0.867	GO:0009987|0.509
GABR2_MOUSE	GO:0005575|0.811	GO:0110165|0.781	GO:0008150|0.825	GO:0009987|0.353
PPQ1_YEAST	GO:0005575|0.866	GO:0110165|0.822	GO:0008150|0.860	GO:0009987|0.416
HA14_MOUSE	GO:0005575|0.680	GO:0110165|0.662	GO:0008150|0.797
CSL4_SCHPO	GO:0005575|0.701	GO:0110165|0.653	GO:0008150|0.795	GO:0009987|0.375
S22A6_MOUSE	GO:0005575|0.646	GO:0110165|0.613	GO:0008150|0.878	GO:0009987|0.475
RFX4_DANRE	GO:0005575|0.826	GO:0110165|0.797	GO:0008150|0.858	GO:0009987|0.437
YMB8_YEAST	GO:0005575|0.844	GO:0110165|0.821	GO:0008150|0.753	GO:0009987|0.301
KS6B2_HUMAN	GO:0005575|0.831	GO:0110165|0.792	GO:0008150|0.768
YEEA_ECOLI	GO:0005575|0.791	GO:0110165|0.747	GO:0008150|0.855	GO:0009987|0.428
ACA1_SCHPO	GO:0005575|0.769	GO:0110165|0.735	GO:0008150|0.870	GO:0009987|0.494
PPIB_CHICK	GO:0005575|0.680	GO:0110165|0.661	GO:0008150|0.806
PRR37_ORYSJ	GO:0005575|0.836	GO:0110165|0.785	GO:0008150|0.873	GO:0009987|0.445
PROM2_MOUSE	GO:0005575|0.825	GO:0110165|0.772	GO:0008150|0.851	GO:0009987|0.413
H3L3_ARATH	GO:0005575|0.860	GO:0110165|0.827	GO:0008150|0.864	GO:0009987|0.592
EPG5_DROME	GO:0005575|0.779	GO:0110165|0.755	GO:0008150|0.873	GO:0009987|0.474
DRE1E_ARATH	GO:0005575|0.404	GO:0110165|0.376	GO:0008150|0.765
TAF10_HUMAN	GO:0005575|0.770	GO:0110165|0.738	GO:0008150|0.785	GO:0009987|0.429
ZNRD2_HUMAN	GO:0005575|0.876	GO:0110165|0.848	GO:0008150|0.903	GO:0009987|0.580	GO:0050789|0.382	GO:0065007|0.438
TEHA_ECOLI	GO:0005575|0.747	GO:0110165|0.712	GO:0008150|0.873	GO:0009987|0.445
LONM_HUMAN	GO:0005575|0.834	GO:0110165|0.795	GO:0008150|0.845	GO:0009987|0.440
TAD2B_HUMAN	GO:0005575|0.693	GO:0110165|0.638	GO:0008150|0.807	GO:0009987|0.389
COT2_HUMAN	GO:0005575|0.803	GO:0110165|0.790	GO:0008150|0.869	GO:0009987|0.512	GO:0065007|0.335
WTF28_SCHKA	GO:0005575|0.879	GO:0110165|0.879	GO:0008150|0.893	GO:0071944|0.317	GO:0009987|0.480
ROBO3_MOUSE	GO:0005575|0.742	GO:0110165|0.713	GO:0008150|0.834	GO:0009987|0.354
SDC1_CRIGR	GO:0005575|0.877	GO:0110165|0.855	GO:0008150|0.860	GO:0009987|0.437
CBSX2_ARATH	GO:0005575|0.736	GO:0110165|0.665	GO:0008150|0.811	GO:0009987|0.352
PDP2_RAT	GO:0005575|0.680	GO:0110165|0.637	GO:0008150|0.804	GO:0009987|0.367
GRAP2_HUMAN	GO:0005575|0.738	GO:0110165|0.693	GO:0008150|0.732
PSAB_SYNY3	GO:0005575|0.600	GO:0110165|0.588	GO:0008150|0.772
CS111_YEAST	GO:0005575|0.804	GO:0110165|0.766	GO:0008150|0.717
BFSP1_MOUSE	GO:0005575|0.877	GO:0110165|0.867	GO:0008150|0.787	GO:0009987|0.366
SLPI_MOUSE	GO:0005575|0.753	GO:0110165|0.727	GO:0032501|0.354	GO:0003674|0.313	GO:0008150|0.961	GO:0009987|0.742	GO:0050896|0.582	GO:0050789|0.637	GO:0065007|0.667	GO:0050794|0.389	GO:0051716|0.305	GO:0005576|0.454
LRFN3_HUMAN	GO:0005575|0.748	GO:0110165|0.715	GO:0008150|0.735
SUYA_PARPN	GO:0005575|0.584	GO:0110165|0.535	GO:0008150|0.807	GO:0009987|0.350
AOC3_HUMAN	GO:0005575|0.745	GO:0110165|0.703	GO:0008150|0.845	GO:0009987|0.421
PCY2_HUMAN	GO:0005575|0.607	GO:0110165|0.570	GO:0008150|0.821	GO:0009987|0.333
EIF3L_HUMAN	GO:0005575|0.778	GO:0110165|0.705	GO:0008150|0.914	GO:0009987|0.534
S2542_MOUSE	GO:0005575|0.663	GO:0110165|0.608	GO:0008150|0.805	GO:0009987|0.364
MCL1_SCHPO	GO:0005575|0.754	GO:0110165|0.716	GO:0008150|0.785
FUT13_ARATH	GO:0005575|0.537	GO:0110165|0.516	GO:0008150|0.911	GO:0009987|0.427
MAP1B_RAT	GO:0005575|0.898	GO:0110165|0.868	GO:0008150|0.846	GO:0009987|0.471
TF7L1_MOUSE	GO:0005575|0.829	GO:0110165|0.802	GO:0008150|0.754
EZRI_MOUSE	GO:0005575|0.814	GO:0110165|0.735	GO:0008150|0.685
NQRA_VIBAL	GO:0005575|0.632	GO:0110165|0.579	GO:0008150|0.815	GO:0009987|0.345
PI5K2_ARATH	GO:0005575|0.749	GO:0110165|0.723	GO:0008150|0.733
ITAE_MOUSE	GO:0005575|0.853	GO:0110165|0.837	GO:0008150|0.880	GO:0009987|0.439
CING_HUMAN	GO:0005575|0.890	GO:0110165|0.871	GO:0008150|0.759	GO:0009987|0.341
RAS_PLESU	GO:0005575|0.697	GO:0110165|0.663	GO:0008150|0.758
L2HDH_ARATH	GO:0005575|0.766	GO:0110165|0.739	GO:0008150|0.770	GO:0009987|0.329
RP13A_SCHPO	GO:0005575|0.621	GO:0110165|0.570	GO:0008150|0.802	GO:0009987|0.357
GLP1R_RAT	GO:0005575|0.843	GO:0110165|0.822	GO:0008150|0.854	GO:0009987|0.419
ZN367_HUMAN	GO:0005575|0.810	GO:0110165|0.772	GO:0008150|0.808	GO:0009987|0.424
FIR15_CAEEL	GO:0005575|0.771	GO:0110165|0.708	GO:0008150|0.909	GO:0009987|0.460	GO:0050896|0.376	GO:0065007|0.336
RIC4_ARATH	GO:0005575|0.673	GO:0110165|0.662	GO:0008150|0.623
GPR12_MOUSE	GO:0005575|0.728	GO:0110165|0.667	GO:0008150|0.881	GO:0009987|0.474
MX2_BOVIN	GO:0005575|0.838	GO:0110165|0.800	GO:0008150|0.844	GO:0009987|0.440
ACS_PLEBE	GO:0005575|0.711	GO:0110165|0.695	GO:0008150|0.816	GO:0009987|0.357
PATL2_HUMAN	GO:0005575|0.906	GO:0110165|0.878	GO:0008150|0.818	GO:0016020|0.348	GO:0009987|0.370
ILV3_SCHPO	GO:0005575|0.823	GO:0110165|0.776	GO:0008150|0.832	GO:0009987|0.397
RL7A_DROME	GO:0005575|0.771	GO:0110165|0.694	GO:0008150|0.809	GO:0009987|0.404
DBP5_YEAST	GO:0005575|0.761	GO:0110165|0.715	GO:0008150|0.695
IL36A_HUMAN	GO:0005575|0.698	GO:0110165|0.640	GO:0008150|0.855	GO:0009987|0.473
PSKR2_ARATH	GO:0005575|0.781	GO:0110165|0.735	GO:0008150|0.876	GO:0009987|0.413
S12A6_MOUSE	GO:0005575|0.840	GO:0110165|0.819	GO:0008150|0.892	GO:0009987|0.418
OEP37_PEA	GO:0005575|0.820	GO:0110165|0.812	GO:0008150|0.811	GO:0009987|0.366
AK1D1_RAT	GO:0005575|0.675	GO:0110165|0.646	GO:0008150|0.792	GO:0009987|0.331
ZN396_HUMAN	GO:0005575|0.679	GO:0110165|0.572	GO:0008150|0.885	GO:0009987|0.520
APOA2_MOUSE	GO:0005575|0.869	GO:0110165|0.855	GO:0008150|0.896	GO:0009987|0.469	GO:0050896|0.354	GO:0050789|0.464	GO:0065007|0.464
MT1_NEOLU	GO:0005575|0.333	GO:0110165|0.333	GO:0032501|0.350	GO:0008150|0.955	GO:0009987|0.504	GO:0050896|0.678	GO:0050789|0.482	GO:0065007|0.628	GO:0006950|0.439	GO:0006952|0.439	GO:0005576|0.333
ABCGO_DICDI	GO:0005575|0.809	GO:0110165|0.782	GO:0008150|0.921	GO:0009987|0.500
BIP_SCHPO	GO:0005575|0.823	GO:0110165|0.792	GO:0008150|0.720	GO:0009987|0.308
LAAT1_CAEEL	GO:0005575|0.630	GO:0110165|0.561	GO:0008150|0.754
SAU76_ARATH	GO:0005575|0.655	GO:0110165|0.645	GO:0008150|0.785	GO:0009987|0.319
IKBZ_HUMAN	GO:0005575|0.861	GO:0110165|0.824	GO:0008150|0.786
DGCF_ECOLI	GO:0005575|0.622	GO:0110165|0.530	GO:0008150|0.696
KIF12_HUMAN	GO:0005575|0.718	GO:0110165|0.676	GO:0008150|0.855	GO:0009987|0.426
FLIS_ECOLI	GO:0005575|0.678	GO:0110165|0.639	GO:0008150|0.447
GBLPA_ORYSJ	GO:0005575|0.565	GO:0110165|0.565	GO:0008150|0.859	GO:0009987|0.344
M2GD_HUMAN	GO:0005575|0.702	GO:0110165|0.642	GO:0008150|0.722
NANP_HUMAN	GO:0005575|0.683	GO:0110165|0.668	GO:0008150|0.824	GO:0009987|0.378
KCNK9_HUMAN	GO:0005575|0.685	GO:0110165|0.677	GO:0008150|0.846	GO:0009987|0.403
LAR1B_HUMAN	GO:0005575|0.911	GO:0110165|0.880	GO:0008150|0.761	GO:0005622|0.308	GO:0009987|0.370
RGCC_HUMAN	GO:0005575|0.645	GO:0110165|0.566	GO:0008150|0.803	GO:0009987|0.327
CIPK1_ARATH	GO:0005575|0.787	GO:0110165|0.734	GO:0008150|0.740	GO:0009987|0.363
FAP1H_SCHPO	GO:0005575|0.794	GO:0110165|0.789	GO:0008150|0.895	GO:0009987|0.527
CSPL6_ARATH	GO:0005575|0.819	GO:0110165|0.805	GO:0008150|0.839	GO:0009987|0.422
NPL_HUMAN	GO:0005575|0.704	GO:0110165|0.681	GO:0008150|0.788
EZH2_MOUSE	GO:0005575|0.767	GO:0110165|0.740	GO:0008150|0.876	GO:0009987|0.548
PSA2A_ARATH	GO:0005575|0.638	GO:0110165|0.615	GO:0008150|0.744
SLO_DROME	GO:0005575|0.856	GO:0110165|0.856	GO:0008150|0.899	GO:0009987|0.520
TOR1A_HUMAN	GO:0005575|0.658	GO:0110165|0.616	GO:0008150|0.843	GO:0009987|0.352
ALFL1_ARATH	GO:0005575|0.739	GO:0110165|0.700	GO:0008150|0.843	GO:0009987|0.387
LMPC_DICDI	GO:0005575|0.767	GO:0110165|0.691	GO:0008150|0.827	GO:0009987|0.300
OEP24_PEA	GO:0005575|0.827	GO:0110165|0.802	GO:0008150|0.800	GO:0009987|0.371
MUC20_HUMAN	GO:0005575|0.762	GO:0110165|0.697	GO:0008150|0.666
SUMV1_CAEEL	GO:0005575|0.914	GO:0110165|0.888	GO:0008150|0.835	GO:0009987|0.489
ZRT3_YEAST	GO:0005575|0.809	GO:0110165|0.775	GO:0008150|0.823	GO:0009987|0.327
TBA3_MOUSE	GO:0005575|0.656	GO:0110165|0.573	GO:0008150|0.719
PHOS_HUMAN	GO:0005575|0.859	GO:0110165|0.834	GO:0008150|0.669
GRIK1_MOUSE	GO:0005575|0.802	GO:0110165|0.764	GO:0008150|0.830	GO:0009987|0.338
DEWA_EMENI	GO:0005575|0.793	GO:0110165|0.734	GO:0008150|0.879	GO:0009987|0.396
AREG_HUMAN	GO:0005575|0.825	GO:0110165|0.798	GO:0008150|0.917	GO:0009987|0.535	GO:0050789|0.325	GO:0065007|0.398
AAC6_KLEAE	GO:0005575|0.522	GO:0110165|0.476	GO:0008150|0.872	GO:0009987|0.448
ORTB_ACESD	GO:0005575|0.720	GO:0110165|0.678	GO:0008150|0.673
CNX1_ARATH	GO:0005575|0.758	GO:0110165|0.752	GO:0008150|0.760
MOT3_RAT	GO:0005575|0.829	GO:0110165|0.789	GO:0008150|0.754
CAX1_ARATH	GO:0005575|0.816	GO:0110165|0.798	GO:0008150|0.874	GO:0009987|0.460
CEP68_HUMAN	GO:0005575|0.852	GO:0110165|0.835	GO:0008150|0.786	GO:0009987|0.360
ANFB_RAT	GO:0005575|0.800	GO:0110165|0.800	GO:0008150|0.794	GO:0009987|0.353
ERV15_YEAST	GO:0005575|0.722	GO:0110165|0.671	GO:0008150|0.742	GO:0009987|0.313
OAS1B_MOUSE	GO:0005575|0.799	GO:0110165|0.716	GO:0008150|0.834	GO:0009987|0.371
ERP1_YEAST	GO:0005575|0.712	GO:0110165|0.653	GO:0008150|0.744
ERBB4_RAT	GO:0005575|0.798	GO:0110165|0.762	GO:0008150|0.933	GO:0009987|0.617
ILVA_MYCTU	GO:0005575|0.519	GO:0110165|0.464	GO:0008150|0.799	GO:0009987|0.301
GP_CCHFI	GO:0005575|0.879	GO:0110165|0.867	GO:0008150|0.906	GO:0009987|0.493
VAS1_MOUSE	GO:0005575|0.733	GO:0110165|0.669	GO:0008150|0.834	GO:0009987|0.352
ALDO4_ARATH	GO:0005575|0.741	GO:0110165|0.697	GO:0008150|0.836	GO:0009987|0.397
TWIST_CAEEL	GO:0005575|0.734	GO:0110165|0.683	GO:0008150|0.866	GO:0009987|0.406
LSG1_SCHPO	GO:0005575|0.802	GO:0110165|0.757	GO:0008150|0.782	GO:0009987|0.319
ARPC2_CAEEL	GO:0005575|0.790	GO:0110165|0.718	GO:0008150|0.840	GO:0009987|0.483
KCC2D_RAT	GO:0005575|0.695	GO:0110165|0.651	GO:0008150|0.782	GO:0009987|0.317
GARS_MOUSE	GO:0005575|0.756	GO:0110165|0.743	GO:0008150|0.738
DJB13_HUMAN	GO:0005575|0.832	GO:0110165|0.779	GO:0008150|0.795	GO:0009987|0.408
YJAG_ECOLI	GO:0005575|0.685	GO:0110165|0.637	GO:0008150|0.865	GO:0009987|0.532
VAC8_CANAL	GO:0005575|0.846	GO:0110165|0.831	GO:0008150|0.824	GO:0009987|0.455
SOAT2_HUMAN	GO:0005575|0.759	GO:0110165|0.703	GO:0008150|0.879	GO:0009987|0.417
NIN3_ORYSJ	GO:0005575|0.731	GO:0110165|0.663	GO:0008150|0.694
TCPA_DICDI	GO:0005575|0.740	GO:0110165|0.687	GO:0008150|0.703
COLD1_ORYSJ	GO:0005575|0.830	GO:0110165|0.808	GO:0008150|0.774	GO:0009987|0.304
YDK2_SCHPO	GO:0005575|0.770	GO:0110165|0.760	GO:0008150|0.757
TAM41_RAT	GO:0005575|0.818	GO:0110165|0.792	GO:0008150|0.844	GO:0009987|0.399
TOP2A_HUMAN	GO:0005575|0.877	GO:0110165|0.854	GO:0008150|0.835	GO:0009987|0.443
FYB1_MOUSE	GO:0005575|0.853	GO:0110165|0.835	GO:0008150|0.748
BRN2L_ARATH	GO:0005575|0.792	GO:0110165|0.722	GO:0008150|0.842	GO:0009987|0.405
SC6A1_HUMAN	GO:0005575|0.739	GO:0110165|0.713	GO:0008150|0.857	GO:0009987|0.398
JIP1_RAT	GO:0005575|0.762	GO:0110165|0.726	GO:0008150|0.771
APBA2_HUMAN	GO:0005575|0.754	GO:0110165|0.696	GO:0008150|0.801	GO:0009987|0.356
SHCAF_HUMAN	GO:0005575|0.881	GO:0110165|0.833	GO:0008150|0.902	GO:0009987|0.606
TRI29_MOUSE	GO:0005575|0.841	GO:0110165|0.811	GO:0008150|0.873	GO:0009987|0.561
EED_MOUSE	GO:0005575|0.661	GO:0110165|0.620	GO:0008150|0.820	GO:0009987|0.384
UBC2_CANAL	GO:0005575|0.852	GO:0110165|0.817	GO:0008150|0.778	GO:0009987|0.374
RL18B_SCHPO	GO:0005575|0.718	GO:0110165|0.659	GO:0008150|0.655
NUP1_ARATH	GO:0005575|0.903	GO:0110165|0.875	GO:0008150|0.857	GO:0009987|0.425
QSOX1_ARATH	GO:0005575|0.790	GO:0110165|0.743	GO:0008150|0.728
YDGC_ECOLI	GO:0005575|0.654	GO:0110165|0.548	GO:0008150|0.770	GO:0009987|0.364
RPOM_MOUSE	GO:0005575|0.770	GO:0110165|0.735	GO:0008150|0.861	GO:0009987|0.443
SHPS1_RAT	GO:0005575|0.819	GO:0110165|0.786	GO:0008150|0.794
ATL31_ARATH	GO:0005575|0.718	GO:0110165|0.641	GO:0008150|0.821
ATE1_DROME	GO:0005575|0.845	GO:0110165|0.798	GO:0008150|0.892	GO:0009987|0.561
TRI18_MOUSE	GO:0005575|0.713	GO:0110165|0.662	GO:0008150|0.757
OGFD1_HUMAN	GO:0005575|0.724	GO:0110165|0.658	GO:0008150|0.816	GO:0009987|0.353
LDHD_MOUSE	GO:0005575|0.736	GO:0110165|0.729	GO:0008150|0.831	GO:0009987|0.315
SNX15_HUMAN	GO:0005575|0.792	GO:0110165|0.752	GO:0008150|0.752	GO:0009987|0.317
TNG11_DROME	GO:0005575|0.709	GO:0110165|0.663	GO:0008150|0.796	GO:0009987|0.384
PRAF3_HUMAN	GO:0005575|0.750	GO:0110165|0.742	GO:0008150|0.862	GO:0009987|0.432
U80B1_ARATH	GO:0005575|0.770	GO:0110165|0.720	GO:0008150|0.851	GO:0009987|0.439
TIC55_ARATH	GO:0005575|0.733	GO:0110165|0.732	GO:0008150|0.654
VPS50_MOUSE	GO:0005575|0.818	GO:0110165|0.786	GO:0008150|0.889	GO:0009987|0.539
DEFEU_ASPAM	GO:0005575|0.545	GO:0110165|0.442	GO:0008150|0.956	GO:0009987|0.543	GO:0050896|0.468	GO:0050789|0.364	GO:0065007|0.491	GO:0006950|0.343
S12A5_HUMAN	GO:0005575|0.830	GO:0110165|0.793	GO:0008150|0.931	GO:0009987|0.554
MANA2_ARATH	GO:0005575|0.741	GO:0110165|0.714	GO:0008150|0.830	GO:0009987|0.301
LCN1_HUMAN	GO:0005575|0.568	GO:0110165|0.527	GO:0008150|0.883	GO:0009987|0.470
TMPSD_HUMAN	GO:0005575|0.884	GO:0110165|0.845	GO:0008150|0.886	GO:0009987|0.535
S12A4_RABIT	GO:0005575|0.843	GO:0110165|0.805	GO:0008150|0.821	GO:0009987|0.330
ITB3_MOUSE	GO:0005575|0.789	GO:0110165|0.765	GO:0008150|0.900	GO:0009987|0.506
HYEP_HUMAN	GO:0005575|0.810	GO:0110165|0.758	GO:0008150|0.772	GO:0009987|0.322
CYHEL_HYBEN	GO:0005575|0.457	GO:0110165|0.349	GO:0008150|0.931	GO:0009987|0.426	GO:0050896|0.552	GO:0050789|0.330	GO:0065007|0.462	GO:0006950|0.333
YTA12_YEAST	GO:0005575|0.919	GO:0110165|0.891	GO:0008150|0.785	GO:0016020|0.336	GO:0009987|0.395
ACH3_CAEEL	GO:0005575|0.872	GO:0110165|0.836	GO:0008150|0.845	GO:0009987|0.408
S45A3_HUMAN	GO:0005575|0.703	GO:0110165|0.626	GO:0008150|0.908	GO:0009987|0.529
AHL29_ARATH	GO:0005575|0.825	GO:0110165|0.809	GO:0008150|0.908	GO:0009987|0.564
SPL12_ARATH	GO:0005575|0.747	GO:0110165|0.706	GO:0008150|0.882	GO:0009987|0.545
TRI72_HUMAN	GO:0005575|0.697	GO:0110165|0.670	GO:0008150|0.877	GO:0009987|0.487
GDF2_DANRE	GO:0005575|0.720	GO:0110165|0.700	GO:0008150|0.802	GO:0009987|0.321
CALR_CAEEL	GO:0005575|0.832	GO:0110165|0.816	GO:0008150|0.642
MALR1_MOUSE	GO:0005575|0.822	GO:0110165|0.781	GO:0008150|0.899	GO:0009987|0.503
TREX2_HUMAN	GO:0005575|0.775	GO:0110165|0.717	GO:0008150|0.896	GO:0009987|0.530
SHPK_MOUSE	GO:0005575|0.788	GO:0110165|0.729	GO:0008150|0.817	GO:0009987|0.373
PETN_ORYSA	GO:0005575|0.704	GO:0110165|0.587	GO:0008150|0.868	GO:0009987|0.330	GO:0050896|0.619	GO:0050789|0.362	GO:0065007|0.406	GO:0006950|0.473	GO:0006952|0.332
YBY5_SCHPO	GO:0005575|0.722	GO:0110165|0.681	GO:0008150|0.777
ASC_MOUSE	GO:0005575|0.700	GO:0110165|0.648	GO:0008150|0.785	GO:0009987|0.315
HAC12_ARATH	GO:0005575|0.863	GO:0110165|0.814	GO:0008150|0.899	GO:0009987|0.458
PTFC2_ECOLI	GO:0005575|0.753	GO:0110165|0.697	GO:0008150|0.734
TUTLA_MOUSE	GO:0005575|0.770	GO:0110165|0.722	GO:0008150|0.897	GO:0009987|0.507
WRK30_ARATH	GO:0005575|0.633	GO:0110165|0.558	GO:0008150|0.895	GO:0009987|0.494
HFA7A_ARATH	GO:0005575|0.796	GO:0110165|0.762	GO:0008150|0.876	GO:0009987|0.461
FIP37_ARATH	GO:0005575|0.870	GO:0110165|0.820	GO:0008150|0.776	GO:0009987|0.387
DNJC3_MOUSE	GO:0005575|0.685	GO:0110165|0.594	GO:0008150|0.664
FUT7_RAT	GO:0005575|0.653	GO:0110165|0.620	GO:0008150|0.898	GO:0009987|0.526
WNK_CAEEL	GO:0005575|0.884	GO:0110165|0.854	GO:0008150|0.836	GO:0009987|0.487
LYST_HUMAN	GO:0005575|0.839	GO:0110165|0.805	GO:0008150|0.910	GO:0009987|0.504
KIF22_HUMAN	GO:0005575|0.758	GO:0110165|0.732	GO:0008150|0.857	GO:0009987|0.447
DPP4_RAT	GO:0005575|0.736	GO:0110165|0.687	GO:0008150|0.828	GO:0009987|0.338
ATP25_YEAST	GO:0005575|0.791	GO:0110165|0.745	GO:0008150|0.796	GO:0009987|0.363
GEMI2_MOUSE	GO:0005575|0.680	GO:0110165|0.618	GO:0008150|0.797
